ID;Title;_description;Vendor State;Vendor Category;url;facebook;instagram;Image Featured;image-1;image-2;image-3;Emerging;Participation;Aust Made;PricePoint;Environmental;Archive
;Ginny Reynders Jewellery;"Ginny Reynders Jewellery is individually designed and handcrafted by established Adelaide jeweller, Ginny Reynders. Ginny has been creating one-of-a-kind, delicate and intricate jewellery for over a decade. 
Each piece is personally handcrafted using old-world jewellery making techniques and locally sourced, reclaimed and recycled, precious metals and ethical gemstones. Ginny is proud to produce eco-friendly, sustainable jewellery that will last a lifetime. 
The latest range features South Australian opal and Australian sapphires as well as her signature studs in new designs.";South Australia;Jewellery;ginnyreynders.com;;ginnyreynders;https://staging.bowerbird.net.au/vendors/Ginny-Reynders-Jewellery-Trout-Sleeper-Earrings.jpg;https://staging.bowerbird.net.au/vendors/Ginny-Reynders-Jewellery-Trout-Sleeper-Earrings.jpg;https://staging.bowerbird.net.au/vendors/Ginny-Reynders-Jewellery-Three-Rings.jpg;https://staging.bowerbird.net.au/vendors/Ginny-Reynders-Jewellery-Mixed-Jewellery.jpg;FALSE;;;;;
;Glass By Emma Klau;"Emma Klau is a South Australian professional glass blower and designer. Since the early stages of her glass education, Emma's love of large vessel blowing and her inspiration to create organic forms has been evident in her work.
Her very popular range the 'Kinetic series' is a family of revolving glassware in particular the Kinetic wine glass that aerates wine as it revolves on its axis point. 
The range also features a the' Taste of Australia' decanter, that show cases Australian desert sand, beach sand, salt from the salt lakes and dried vines from our South Australian vineyards. Other products include salad bowls, platters, dishes and salt and pepper dishes.";South Australia;Homewares;glassbyemmaklau.com;glassbyemmaklau;glassbyemmaklau;https://staging.bowerbird.net.au/vendors/Glass-By-Emma-Klau-Coloured-Revolving-Decanters.jpg;https://staging.bowerbird.net.au/vendors/Glass-By-Emma-Klau-Coloured-Revolving-Decanters.jpg;https://staging.bowerbird.net.au/vendors/Glass-By-Emma-Klau-Pinch-Dishes.jpg;https://staging.bowerbird.net.au/vendors/Glass-By-Emma-Klau-Wine-Glasses-and-Decanter.jpg;FALSE;;;;;
;Heaps Good Gin;"Heaps Good Gin is all about celebrating the state of South Australia. 
Heaps Good Gin is a classic citrus-forward gin courtesy of Riverland Orange and Mypolonga Finger Lime, balanced with the savoury notes of Saltbush from Lake Eyre, and a hint of zing from natively foraged Pink Pepper.";South Australia;Pantry & Bar;heapsgoodgin.com.au;heapsgoodgin;heapsgoodgin;https://staging.bowerbird.net.au/vendors/Heaps-Good-Gin-Bottle.jpg;https://staging.bowerbird.net.au/vendors/Heaps-Good-Gin-Bottle.jpg;https://staging.bowerbird.net.au/vendors/Heaps-Good-Gin-Negroni.jpg;https://staging.bowerbird.net.au/vendors/Heaps-Good-Gin-and-Tonic.jpg;FALSE;;;;;
;Hello There Cheeky;"Hello There Cheeky is an Adelaide based accessories brand created by sole designer Katie Long. After completing her Bachelor of Visual Arts and Applied Design, Katie began to explore the creation of accessories and established her brand, Hello There Cheeky in 2014. Since then, Katie has explored a range of mixed mediums all with a major focus on the diverse medium of polymer clay.
Her most recent works explore a range of mixed media, colour theory and illustrational elements. Inspiration is drawn from the world around her with all designs created using digital drawings to aid in her passion for sustainable, mindful and authentic creation.";South Australia;Jewellery;hellotherecheeky.com;hellotherecheeky;hellotherecheeky;https://staging.bowerbird.net.au/vendors/Hello-There-Cheeky-Terrazzo-Collection.jpg;https://staging.bowerbird.net.au/vendors/Hello-There-Cheeky-Terrazzo-Collection.jpg;https://staging.bowerbird.net.au/vendors/Hello-There-Cheeky-Small-Studs.jpg;https://staging.bowerbird.net.au/vendors/Hello-There-Cheeky-Confetti-Cannon-Earrings.jpg;FALSE;;;;;
;Hey Low Spirits;"Hey Low Spirits is dedicated to making the best natural, low alcohol botanical spirits in Australia. The range of small batch triple botanical spirits are packed with botanicals and smashed with citrus for a natural high.
With 75% less alcohol than an average gin, it gives drinkers looking to moderate their alcohol intake a responsible, clean and ethical choice. At only 18 calories per serve, it�s the perfect gin alternative to help you drink lighter and feel brighter.";South Australia;Pantry & Bar;heylowspirits.com.au;heylowspirits;heylowspirits;;;;;TRUE;New to Bowerbird;;;;
;Humblee Eco;"Humblee Eco produces handmade, sustainable products for living a humble life. Humblee Ecos beeswax and vegan wax wraps and bags are designed to protect and preserve food in place of plastic wrap and the range now includes aprons and placemats.
The wraps are made from cotton fabric, infused with either beeswax or plant wax mix. With a genuine concern about over-use of plastic, especially in the wrapping of food, Humblee Eco was led to the conclusion that there had to be a better way for the future.";South Australia;Homewares;humbleeeco.com.au;humbleeeco;humbleeeco;https://staging.bowerbird.net.au/vendors/Humblee-Eco-Wax-Bags.jpg;https://staging.bowerbird.net.au/vendors/Humblee-Eco-Wax-Bags.jpg;https://staging.bowerbird.net.au/vendors/Humblee-Eco-Hemp-Napkins.jpg;https://staging.bowerbird.net.au/vendors/Humblee-Eco-Wax-Wraps.jpg;FALSE;;;;;
;Ira Nazarova Art;Ira's art is a response to the plethora of beauty existent in our gardens and natural environment. The range includes unique floral greeting cards, limited edition prints, stickers, original paintings on wood, tote bags, cushion covers and a series of handcrafted jewellery with carefully collected local flowers.;South Australia;Art & Stationery;flowersinyourhairoz.etsy.com;flowersinyourhair.oz;iranazarovaart;https://staging.bowerbird.net.au/vendors/Ira-Nazarova-Art-Paintings-Eucalyptus-with-Seed-Pods.jpg;https://staging.bowerbird.net.au/vendors/Ira-Nazarova-Art-Paintings-Eucalyptus-with-Seed-Pods.jpg;https://staging.bowerbird.net.au/vendors/Ira-Nazarova-Art-Acacia-Earrings.jpg;https://staging.bowerbird.net.au/vendors/Ira-Nazarova-Art-Greeting-Cards.jpg;FALSE;;;;;
;Island Home Living;Island Home Living create neutral coastal inspired earrings using polymer clay and natural fibres. Each dangle is hand sewn rather than using rings which gives the earrings a point of difference and an even more natural finish. ;South Australia;Jewellery;island-home-living.square.site;islandhomeliving;island.home.living;https://staging.bowerbird.net.au/vendors/Island-Home-Living-Baby-Mandala-Earrings.jpg;https://staging.bowerbird.net.au/vendors/Island-Home-Living-Baby-Mandala-Earrings.jpg;https://staging.bowerbird.net.au/vendors/Island-Home-Living-Coral.jpg;https://staging.bowerbird.net.au/vendors/Island-Home-Living-Range.jpg;TRUE;New to Bowerbird;;;;
;Jax and Co.;"Jax and Co. craft a range of unique, contemporary home wares, jewellery and art - individually created from South Australian, seasonal native botanicals and resin.
With a focus on sustainable design, each piece is crafted by hand by Jax in her small studio. The range includes homewares, jewellery, and art in a relaxed and organic fashion, making the local flora the hero.";South Australia;Homewares;jaxandco.com.au;jaxandcohandcrafted;jaxandco.handcrafted;https://staging.bowerbird.net.au/vendors/Jax-and-Co-Botanical-Sphere.jpg;https://staging.bowerbird.net.au/vendors/Jax-and-Co-Botanical-Sphere.jpg;https://staging.bowerbird.net.au/vendors/Jax-and-Co-Rolling-Pin.jpg;https://staging.bowerbird.net.au/vendors/Jax-and-Co-Tablewares.jpg;FALSE;New to Bowerbird;;;;
;Kalila & Namoi;"Kalila & Namoi is an Australian fashion label, proudly designed and handmade in Adelaide. Producing ranges of draped, free flowing designs, perfect for women who appreciate style and quality.
The range features fabrics to suit all sorts of lifestyles, from luxurious and sustainable fabrics such as organic linen, organic cotton, silk, wool and hemp to easy care fabrics for women with busy lifestyles.";South Australia;Clothing & Textiles;kalila.com.au;kalilanamoidesigns;kalila_namoi;https://staging.bowerbird.net.au/vendors/Kalila-Namoi-Soft-Blazer.jpg;https://staging.bowerbird.net.au/vendors/Kalila-Namoi-Soft-Blazer.jpg;https://staging.bowerbird.net.au/vendors/Kalila-Namoi-Black-Wrap-Dress.jpg;https://staging.bowerbird.net.au/vendors/Kalila-Namoi-Black-Wrap-Top.jpg;FALSE;;;;;
;Kate Mason;"Kate Mason is an illustrator whose illustrations have been commissioned for fabric collections, gift and homewares, magazines, jigsaw puzzles, food packaging and more. Her style is sweet, feminine, whimsical & a little eclectic.
The range includes greeting cards, art prints and printed fabric products including aprons, pouches and her much loved Adelaide map tea towel.";South Australia;Art & Stationery;katemason.com.au;katemasonartist;katemasonartist;https://staging.bowerbird.net.au/vendors/Kate-Mason-Apron-Succulent.jpg;https://staging.bowerbird.net.au/vendors/Kate-Mason-Apron-Succulent.jpg;;;FALSE;;;;;
;Laurence Coffrant;"Laurence Coffrant is an Adelaide-based jeweller working primarily with raw minerals and recycled sterling sliver.
The range features one-off bespoke pieces that are inspired by crystal formations and her simple silver collection includes a range of stacking rings and earrings. The latest range features the ancient technique of Cuttle-fish casting.";South Australia;Jewellery;laurencecoffrant.com;laurencecoffrantartist;laurencecoffrant;https://staging.bowerbird.net.au/vendors/Laurence-Coffrant-Sapphire-Cuttlefish-Ring.jpg;https://staging.bowerbird.net.au/vendors/Laurence-Coffrant-Sapphire-Cuttlefish-Ring.jpg;https://staging.bowerbird.net.au/vendors/Laurence-Coffrant-Geode-Earrings.jpg;https://staging.bowerbird.net.au/vendors/Laurence-Coffrant-Oxidised-Cuttlefish-Ring.jpg;FALSE;;;;;
;Leanne McCulloch Art;"Leanne is an intuitive painter and crafter inspired by the world around her. Her range predominantly features  original artworks painted on birchwood panels and gallery wrapped canvas.
The range also includes greeting card sets which she prints herself on Hahnemuhle art paper, resin coasters, placemats and cheeseboards and also hand-bound leather journals which feature her art prints inside.";South Australia;Art & Stationery;leannemccullochart.com.au;;wleanne.mcculloch.art;https://staging.bowerbird.net.au/vendors/Leanne-McCulloch-Art-Resin-Tableware.jpg;https://staging.bowerbird.net.au/vendors/Leanne-McCulloch-Art-Resin-Tableware.jpg;https://staging.bowerbird.net.au/vendors/Leanne-McCulloch-Art-Original-Art.jpg;https://staging.bowerbird.net.au/vendors/Leanne-McCulloch-Art-Handbound-Leather-Journals.jpg;TRUE;New to Bowerbird;;;;
;Linda Marek Design;"Linda Marek uses natural materials to create beautiful timeless jewellery which is inspired by our surroundings.
Designed and hand-made in the Adelaide Hills, her practice is committed to a sensitive environmental footprint.";South Australia;Jewellery;lindamarekdesign.com.au;lindamarekdesign;lindamarekdesign;https://staging.bowerbird.net.au/vendors/Linda-Marek-Design-Hoopla-Earring.jpg;https://staging.bowerbird.net.au/vendors/Linda-Marek-Design-Hoopla-Earring.jpg;https://staging.bowerbird.net.au/vendors/Linda-Marek-Design-Ocean-Earrings-Necklace.jpg;https://staging.bowerbird.net.au/vendors/Linda-Marek-Design-Prism-Earring.jpg;FALSE;;;;;
;Lo'eme Australia;"Lo'eme is a South Australian, artisan cosmeceutical skincare brand dedicated to using Australian grown oils, native extracts and Australian-made recyclable packaging where possible. The products are 100% natural and nut free using only the finest and most ethical and sustainably sourced ingredients.
The products are formulated to deliver power packed, active ingredients and nutrition to your skin for visibly healthier skin.";South Australia;Body & Soul;lo-eme.com.au;loeme-australia-100588228528674;lo_eme_australia;;;;;TRUE;New to Bowerbird;;;;
